  3  1 22 0630 C   252.0     3.1     6.9   -15.0   230.8     2.2     7.9   -15.1   -18.2    85.7     0.2     0.0    64.70 99999.00   100.09     0.15     1.9 99999.0    10.4
  3  1 22 0730 C   243.3     3.0     8.5   -15.5   225.6     2.1     8.8   -15.5   -18.5    86.6    -0.0     0.0   103.90 99999.00   100.11     0.14     1.9 99999.0    10.4
  3  1 22 0830 C   246.1     3.2    10.3   -14.8   242.1     2.8    11.3   -14.6   -18.2    81.8    -0.3     0.0   276.90 99999.00   100.15     0.15     1.9 99999.0    10.4
  3  1 22 0930 B   241.3     3.5     8.2   -13.0   249.8     3.2    11.7   -12.6   -17.6    73.2    -0.8     0.0   419.70 99999.00   100.24     0.15     1.9 99999.0    10.4
  3  1 22 1030 B   232.1     3.9    10.5   -11.4   236.2     3.7    13.0   -10.7   -17.8    61.2    -1.3     0.0   542.60 99999.00   100.28     0.15     1.8 99999.0    10.4
  3  1 22 1130 B   232.8     5.3    10.2   -10.4   233.6     4.5    14.3    -9.6   -18.9    50.1    -1.6     0.0   537.60 99999.00   100.24     0.14     1.8 99999.0    10.4
  3  1 22 1230 B   228.3     5.2     9.2    -9.3   228.7     4.4    14.9    -8.5   -19.2    44.5    -1.6     0.0   516.00 99999.00   100.18     0.13     1.8 99999.0    10.4
  3  1 22 1330 B   216.0     4.7    12.0    -7.9   215.2     4.0    17.0    -7.1   -17.2    47.0    -1.5     0.0   447.40 99999.00   100.13     0.16     1.8 99999.0    10.4
  3  1 22 1430 C   211.2     5.6     9.9    -7.3   213.9     4.6    12.1    -6.6   -17.5    44.0    -1.5     0.0   345.50 99999.00   100.15     0.16     1.7 99999.0    10.4
  3  1 22 1530 C   207.0     5.5     8.9    -7.2   206.8     4.4    11.5    -6.6   -16.0    49.9    -1.2     0.0   197.90 99999.00   100.17     0.18     1.7 99999.0    10.4
  3  1 22 1630 C   214.9     4.2     9.1    -7.6   216.6     2.8    11.1    -7.3   -15.6    54.7    -0.7     0.0    77.10 99999.00   100.13     0.18     1.7 99999.0    10.4
  3  1 22 1730 C   201.5     5.1     7.4    -8.1   200.8     3.0     9.4    -8.0   -14.7    62.3    -0.2     0.0    60.40 99999.00   100.07     0.20     1.7 99999.0    10.4
  3  1 22 1830 C   200.5     6.4     5.7    -8.1   197.8     3.7     9.3    -8.1   -13.7    68.1     0.0     0.0    61.20 99999.00   100.01     0.21     1.6 99999.0    10.4
  3  1 22 1930 C   209.6     6.4     6.9    -7.8   212.9     3.4    11.1    -7.9   -12.5    73.4     0.2     0.0    60.50 99999.00    99.99     0.23     1.6 99999.0    10.4
  3  1 22 2030 C   208.7     6.1     4.2    -7.7   206.7     3.1     8.4    -8.0   -12.1    76.9     0.6     0.0    60.00 99999.00    99.97     0.24     1.6 99999.0    10.4
  3  1 22 2130 C   206.0     6.5     5.3    -7.2   207.4     3.1     9.9    -7.6   -11.4    78.7     0.8     0.0    59.00 99999.00    99.92     0.26     1.6 99999.0    10.4
  3  1 22 2230 C   206.8     6.8     5.7    -6.9   206.4     3.7     9.6    -7.1   -11.0    77.4     0.3     0.0    58.70 99999.00    99.91     0.26     1.6 99999.0    10.4
  3  1 22 2330 C   204.3     6.6     6.5    -7.0   202.4     3.6     9.9    -7.1   -10.9    78.1     0.2     0.0    58.40 99999.00    99.88     0.27     1.5 99999.0    10.4
  3  1 22 2400 X   231.3     4.8     6.8   -10.5   228.6     3.2    10.8   -10.3   -15.8    71.3    -0.3     0.0   181.00 99999.00   100.08     0.18     1.8 99999.0    10.4
