  2 12 19 2130 D   209.9     2.5    11.2    -1.4   202.3     2.1    11.8    -1.1    -3.5    83.1    -0.6     0.0     0.00    -6.10    99.37     0.47     3.6     7.3    11.4
  2 12 19 2230 D   211.8     3.1    15.8    -1.4   209.4     2.4    14.0    -1.1    -3.3    84.1    -0.7     0.0     0.00    -5.90    99.33     0.48     3.6     7.3    11.4
  2 12 19 2330 D   209.7     3.7    22.3    -1.5   214.1     2.9    14.2    -1.1    -3.3    84.9    -0.7     0.0     0.00    -5.90    99.26     0.48     3.6     7.3    11.4
  2 12 19 2400 X    28.6    17.9    12.2    -1.2   313.4     3.6    16.2    -0.9    -3.5    81.6    -0.7     0.0    62.60    16.10    99.26     0.47     3.8     7.4    11.5
  3 12 19 0030 D   234.6     5.3     9.2    -1.6   242.7     4.1    11.9    -1.2    -3.2    85.4    -0.7     0.0     0.00    -5.90    99.24     0.48     3.6     7.3    11.4
  3 12 19 0130 D   235.5     6.0     9.0    -1.7   240.7     4.5    12.6    -1.3    -3.0    87.8    -0.7     0.0     0.00    -5.10    99.18     0.49     3.5     7.3    11.4
  3 12 19 0230 D   225.4     5.7     9.6    -1.7   229.7     4.2    13.0    -1.4    -2.8    90.0    -0.8     0.0     0.00    -4.60    99.11     0.50     3.5     7.3    11.4
  3 12 19 0330 D   242.2     5.6     8.5    -2.1   247.1     4.3    12.4    -1.7    -2.6    94.0    -0.8     0.0     0.00    -3.90    99.06     0.51     3.5     7.3    11.4
  3 12 19 0430 D   227.1     5.7    10.3    -2.4   230.4     4.4    12.9    -2.0    -2.8    95.1    -0.8     0.0     0.00    -3.80    98.98     0.50     3.5     7.3    11.4
  3 12 19 0530 D   210.5     5.7    11.1    -2.3   212.5     4.3    13.8    -2.0    -2.9    94.0    -0.8     0.0     0.00    -4.70    98.90     0.50     3.4     7.3    11.4
  3 12 19 0630 D   198.8     6.3     8.3    -2.5   200.4     4.6    11.6    -2.2    -3.1    93.2    -0.6     0.0     0.20   -14.10    98.80     0.49     3.4     7.3    11.4
  3 12 19 0730 D   193.6     6.9     8.4    -2.5   198.0     5.1    10.9    -2.2    -3.4    92.0    -0.7     0.0    23.00    -2.20    98.69     0.48     3.4     7.3    11.4
  3 12 19 0830 D   199.4     6.7     8.6    -1.9   201.6     5.1    11.6    -1.5    -3.0    89.6    -0.8     0.0    71.80    25.30    98.66     0.49     3.4     7.3    11.4
  3 12 19 0930 C   209.3     6.1     9.6    -1.0   212.1     4.5    12.6    -0.6    -2.6    85.7    -0.8     0.0    83.20    45.60    98.64     0.51     3.3     7.3    11.4
  3 12 19 1030 D   219.8     7.0    12.4    -0.1   223.5     5.3    12.7     0.4    -2.3    80.7    -1.0     0.0   142.10    93.40    98.59     0.52     3.3     7.3    11.4
  3 12 19 1130 D   231.3     7.1    10.0     0.5   234.2     5.5    14.1     1.1    -2.1    77.7    -1.1     0.0   188.50   120.20    98.53     0.52     3.3     7.4    11.4
  3 12 19 1230 D   233.1     6.6    10.4     1.3   237.1     5.4    13.7     1.9    -1.9    74.2    -1.3     0.0   307.30   174.70    98.43     0.53     3.3     7.4    11.4
