  3 11 19 0330 D   228.6     4.8     4.7     0.4   243.0     2.2     9.0    -0.5    -1.8    90.0     1.9     0.0     0.00   -11.80    99.68     0.54     5.6    11.5    13.7
  3 11 19 0430 D   213.3     4.4     5.0     0.6   210.5     2.0     9.1    -0.1    -1.2    91.1     1.5     0.0     0.00   -11.50    99.69     0.56     5.5    11.5    13.7
  3 11 19 0530 D   218.7     3.6     6.9     0.9   216.5     2.0     9.9     0.2    -1.0    90.1     1.4     0.0     0.00   -12.10    99.67     0.57     5.4    11.5    13.7
  3 11 19 0630 D   206.2     4.1     4.3     0.7   210.6     2.4    10.6     0.4    -0.8    90.1     0.5     0.0     3.50    -7.50    99.66     0.58     5.3    11.5    13.7
  3 11 19 0730 D   206.1     3.5     6.7     0.9   207.4     2.3    11.3     1.0    -0.6    87.8    -0.2     0.0    36.00    20.30    99.71     0.59     5.3    11.5    13.7
  3 11 19 0830 C   202.1     3.5     7.7     1.4   199.9     2.6    11.0     1.7    -0.2    85.3    -0.7     0.0    82.10    52.70    99.75     0.60     5.3    11.5    13.7
  3 11 19 0930 C   187.2     4.2    10.4     2.6   190.6     3.2    12.7     3.1    -0.2    77.9    -1.0     0.0   142.90    92.70    99.77     0.60     5.3    11.5    13.7
  3 11 19 1030 C   193.8     4.7    12.0     4.7   198.9     4.0    16.2     5.4    -0.1    67.5    -1.4     0.0   333.50   189.90    99.78     0.61     5.3    11.5    13.8
  3 11 19 1130 C   189.4     7.9     9.9     7.3   196.9     5.8    14.1     8.2    -0.2    55.3    -1.7     0.0   484.50   239.00    99.68     0.61     5.3    11.5    13.8
  3 11 19 1230 D   179.1     9.4     9.7     8.7   185.8     6.9    14.7     9.6    -0.0    50.6    -1.9     0.0   542.90   263.50    99.54     0.61     5.4    11.5    13.8
  3 11 19 1330 D   189.6     9.3    12.3     9.5   196.9     6.8    13.8    10.3     0.4    49.5    -1.6     0.0   444.10   186.10    99.48     0.63     5.5    11.5    13.8
  3 11 19 1430 D   202.1     9.8    11.7    10.9   208.0     7.4    15.3    11.6     0.3    45.3    -1.4     0.0   321.80    91.90    99.45     0.63     5.6    11.4    13.8
  3 11 19 1530 D   213.4     7.1    12.2    10.8   219.5     5.2    13.1    11.2     0.6    47.2    -0.8     0.0    95.70     9.70    99.44     0.64     5.7    11.4    13.8
  3 11 19 1630 D   202.6     4.8     9.1    10.4   210.8     2.8    13.9    10.4     1.2    51.7    -0.2     0.0    10.00   -14.80    99.38     0.67     5.8    11.4    13.8
  3 11 19 1730 D   209.1     4.2     7.7    10.0   219.1     2.7    12.3    10.0     1.3    53.8    -0.1     0.0     0.00   -18.50    99.38     0.67     5.8    11.4    13.7
  3 11 19 1830 D   194.8     4.8     7.9     9.4   196.1     3.0    11.0     9.5     1.7    57.5    -0.1     0.0     0.00   -14.30    99.37     0.69     5.9    11.4    13.7
  3 11 19 1930 D   206.5     5.5    10.4     9.6   208.5     3.5    13.4     9.6     1.8    57.4    -0.1     0.0     0.00   -13.10    99.34     0.70     5.9    11.4    13.7
  3 11 19 2030 D   216.8     5.3    10.1     9.2   222.7     3.6    15.6     9.4     2.3    60.0    -0.4     0.0     0.00   -15.80    99.35     0.72     6.0    11.3    13.7
